,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
120,2020 Hyundai,Elantra,SEL,"56,884 miles",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30 City,40 Hwy,1,"$20,590",https://www.carvana.com/vehicle/2060583
121,2019 Volkswagen,Jetta,1.4T S,"69,833 miles",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30 City,40 Hwy,1,"$18,990",https://www.carvana.com/vehicle/2066907
122,2019 Nissan,Versa,SV,"56,571 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,31 City,39 Hwy,1,"$16,990",https://www.carvana.com/vehicle/2086575
123,2019 Nissan,Sentra,S,"11,362 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27 City,35 Hwy,1,"$19,990",https://www.carvana.com/vehicle/2069250
124,2010 Hyundai,Tucson,GLS,"63,549 miles",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,22 City,30 Hwy,1,"$16,990",https://www.carvana.com/vehicle/2074572
125,2021 Chevrolet,Trax,LS,"12,478 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,26 City,31 Hwy,1,"$24,990",https://www.carvana.com/vehicle/2099685
126,2015 Honda,Accord,LX,"45,875 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27 City,36 Hwy,1,"$20,990",https://www.carvana.com/vehicle/2153738
127,2019 Nissan,LEAF,SV,"32,180 miles",1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"$24,990",https://www.carvana.com/vehicle/2153858
128,2013 MINI,Hardtop,Cooper,"20,302 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,28 City,36 Hwy,1,"$19,990",https://www.carvana.com/vehicle/2153314
129,2018 Ford,Fusion,SE,"35,265 miles",1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,21 City,32 Hwy,1,"$21,990",https://www.carvana.com/vehicle/1878029
130,2017 Mazda,MAZDA3,Grand Touring,"24,979 miles",0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,27 City,36 Hwy,1,"$23,990",https://www.carvana.com/vehicle/2114972
131,2013 Ford,Edge,SEL,"90,073 miles",1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,"$18,590",https://www.carvana.com/vehicle/2150081
132,2014 Volkswagen,Jetta,2.0L S,"39,239 miles",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,23 City,29 Hwy,1,"$17,990",https://www.carvana.com/vehicle/2145255
133,2011 Dodge,Charger,R/T,"76,834 miles",1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,16 City,25 Hwy,1,"$20,990",https://www.carvana.com/vehicle/2145253
134,2014 MINI,Hardtop,Cooper S,"59,388 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,27 City,38 Hwy,1,"$18,590",https://www.carvana.com/vehicle/1905005
135,2018 Ford,Taurus,SEL,"33,860 miles",0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,18 City,27 Hwy,1,"$23,990",https://www.carvana.com/vehicle/1864993
