,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
429,2012 Buick,LaCrosse,Leather,"34,401 miles",1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,17 City,27 Hwy,1,"$18,990 ",https://www.carvana.com/vehicle/2092885
430,2012 Kia,Optima,EX,"75,725 miles",1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,22 City,34 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2149509
431,2012 Acura,MDX,base,"61,801 miles",1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,16 City,21 Hwy,1,"$24,990 ",https://www.carvana.com/vehicle/2081277
432,2012 Mazda,CX-9,Touring,"85,849 miles",1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,16 City,22 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/1941402
433,2012 Chevrolet,Corvette,base,"59,870 miles",1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,15 City,25 Hwy,1,"$32,990 ",https://www.carvana.com/vehicle/1881765
434,2012 Volkswagen,Beetle,2.0T Turbo,"64,835 miles",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,21 City,30 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/1973306
435,2012 Kia,Optima,EX,"45,721 miles",0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,24 City,35 Hwy,1,"$17,990 ",https://www.carvana.com/vehicle/2163544
436,2012 Ford,Mustang,GT,"33,269 miles",1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,18 City,25 Hwy,1,"$29,590 ",https://www.carvana.com/vehicle/2057447
437,2012 Hyundai,Sonata,GLS,"99,428 miles",1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,24 City,35 Hwy,1,"$13,990 ",https://www.carvana.com/vehicle/2134092
438,2012 Kia,Soul,+,"29,405 miles",1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,23 City,28 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2087495
439,2012 GMC,Sierra 2500 HD Extended Cab,SLT 8 ft,"94,774 miles",1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,"$28,590 ",https://www.carvana.com/vehicle/1910956
440,2012 Chevrolet,Corvette,base,"30,752 miles",0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,15 City,25 Hwy,1,"$35,590 ",https://www.carvana.com/vehicle/2135792
441,2012 Chevrolet,Corvette,base,"15,155 miles",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15 City,25 Hwy,1,"$40,590 ",https://www.carvana.com/vehicle/2044502
