,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,price,year,model_cat,details_cat,make_cat
7106,61232,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,17,25,43990,2014,329,534,25
7107,70650,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,20,27,25590,2014,207,359,20
7108,29091,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,16,28,49990,2014,107,646,6
7109,64236,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,18,27,40990,2014,277,149,30
7110,60855,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,19,26,24990,2014,178,323,25
7111,55243,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,17,20,44990,2014,150,778,38
7112,24952,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,14,21,42590,2014,343,778,6
7113,28979,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,21,31,25990,2014,48,422,38
7114,35113,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,18,25,30990,2014,310,513,20
7115,10026,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,17,29,55590,2014,107,646,6
7116,5363,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,16,28,54990,2014,107,646,6
7117,18759,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,15,23,30590,2014,89,496,8
7118,16293,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,18,25,57590,2014,338,566,25
7119,33246,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,17,29,49590,2014,107,646,6
7120,94120,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,18,24,28590,2014,360,394,6
7121,64735,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,15,25,32590,2009,107,778,6
7122,43229,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,16,21,38990,2013,419,715,17
7123,49275,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,14,20,32990,2013,6,409,31
7124,37082,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,18,27,30990,2014,33,103,2
7125,64649,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,22,32,25590,2014,340,575,25
7126,35758,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,18,26,28990,2014,289,102,2
7127,26445,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,15,25,39990,2013,107,778,6
7128,42452,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,13,19,28990,2012,6,201,31
7129,80406,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,16,25,36990,2012,68,231,25
7130,23154,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,19,30,25990,2013,82,391,6
7131,22674,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,19,26,30990,2014,15,690,28
