,year_make,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,No Reported Accidents,price,url
708,2013 MINI,Hardtop,Cooper,"70,243 miles",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28 City,36 Hwy,1,"$15,590 ",https://www.carvana.com/vehicle/2072105
709,2013 GMC,Sierra 2500 HD Crew Cab,Denali 6 1/2 ft,"63,158 miles",0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"$44,990 ",https://www.carvana.com/vehicle/2123771
710,2013 Ford,Mustang,Boss 302,"12,188 miles",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,15 City,26 Hwy,1,"$40,590 ",https://www.carvana.com/vehicle/2081774
711,2013 Porsche,Boxster,base,"32,356 miles",0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,20 City,30 Hwy,1,"$44,990 ",https://www.carvana.com/vehicle/2071392
712,2013 MINI,Roadster,Cooper S,"66,086 miles",1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,26 City,34 Hwy,1,"$16,990 ",https://www.carvana.com/vehicle/2044963
713,2013 Maserati,GranTurismo,Sport,"52,992 miles",1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,13 City,21 Hwy,1,"$45,590 ",https://www.carvana.com/vehicle/2077965
714,2013 BMW,3 Series,335i,"44,485 miles",1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,23 City,33 Hwy,1,"$27,590 ",https://www.carvana.com/vehicle/2126133
715,2013 BMW,1 Series,135i,"32,106 miles",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,18 City,25 Hwy,1,"$27,590 ",https://www.carvana.com/vehicle/2056773
716,2013 Mercedes-Benz,SLK-Class,SLK 350,"61,098 miles",1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,21 City,29 Hwy,1,"$25,590 ",https://www.carvana.com/vehicle/2056995
717,2013 Ford,Mustang,GT Premium,"53,925 miles",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,18 City,25 Hwy,1,"$27,590 ",https://www.carvana.com/vehicle/2097943
