,model,details,mileage,Bluetooth,Backup Camera,Infotainment,Screen,Navigation,Hands Free Calling,Heated Seats,Power Seat Controls,Rear Air Vents,Bed Liner,Tow Hitch,4-Cyl,3-Cyl,V6,V8,6-Cyl,city_mpg,highway_mpg,price,year,make
6309,Edge,Limited,89353,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,17990,2013,Ford
6310,Camry,LE,89325,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,25,35,16990,2013,Toyota
6311,C-MAX Hybrid,SEL,25664,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,42,37,19590,2013,Ford
6312,Civic,LX,65343,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,28,39,16990,2013,Honda
6313,Quest,S,85275,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,25,16990,2013,Nissan
6314,RDX,base,47613,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,20,28,23590,2013,Acura
6315,3 Series,328i,39043,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,23,33,21990,2013,BMW
6316,Civic,LX,40125,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,28,39,18990,2013,Honda
6317,Optima,EX,78018,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,24,35,16990,2013,Kia
6318,F150 SuperCrew Cab,XLT 5 1/2 ft,76700,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,15,21,29990,2013,Ford
6319,Tundra CrewMax,5 1/2 ft,60566,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,13,18,32990,2013,Toyota
6320,Grand Cherokee,SRT8 Vapor,56282,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,12,18,42990,2013,Jeep
6321,Boxster,base,32356,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,20,30,44990,2013,Porsche
6322,Roadster,Cooper S,66086,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,26,34,16990,2013,MINI
6323,SLK-Class,SLK 350,61098,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,21,29,25590,2013,Mercedes-Benz
6324,Mustang,GT Premium,53925,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,18,25,27590,2013,Ford
6325,Beetle,2.5L,22647,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,27,26990,2013,Volkswagen
6326,Boxster,base,62194,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,22,32,39990,2013,Porsche
6327,5 Series,535i,39239,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,20,30,27590,2013,BMW
6328,ATS,3.6L Premium,27890,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,19,28,25990,2013,Cadillac
6329,IS,IS 250C,27369,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,21,30,31990,2013,Lexus
6330,Corvette,base,86894,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,15,25,32990,2013,Chevrolet
6331,FJ Cruiser,base,83638,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16,20,34590,2013,Toyota
6332,F150 SuperCrew Cab,SVT Raptor 5 1/2 ft,42297,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,11,16,50590,2013,Ford
6333,Boxster,base,57368,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,20,30,43990,2013,Porsche
6334,Z4,sDrive35is,39664,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,17,24,35990,2013,BMW
6335,Accord,EX-L,52374,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,21,32,20990,2013,Honda
6336,Fit,base,70368,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28,35,15990,2013,Honda
6337,Elantra,Limited,68345,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,28,38,16590,2013,Hyundai
6338,ES,ES 350,75282,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,21,31,23990,2013,Lexus
6339,Corolla,LE,34552,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,26,34,16990,2013,Toyota
